feature,mi_score,correlation,combined_score
f2_distance_landed_avg,0.027482746201747954,0.1303735121277559,0.9326867064670641
f2_sig_str_landed_avg,0.02195308629747794,0.126684128890723,0.8314746348391943
f2_recent_avg_distance_landed,0.024123713554540904,0.11098853735192495,0.805436470116919
f1_sig_str_landed_peak,0.020701838684612284,0.12198724797827064,0.7937566051891269
f1_recent_avg_sig_str_landed,0.022864641131971286,0.10457172574859282,0.7609971436328833
f2_distance_landed_peak,0.018703961746131093,0.120426370055546,0.756314215073119
f1_distance_landed_peak,0.015956208127717142,0.13005152702450434,0.7499783639623991
f2_age_at_fight_valley,0.030438173315092243,0.06337606661781668,0.7221970680083056
f2_recent_avg_sig_str_landed,0.02008700530733587,0.10569572412192454,0.7215781633748826
f2_body_landed_peak,0.019438610154974167,0.10766469197272517,0.7189233441294933
f1_distance_landed_avg,0.015545442530453535,0.12159899805881463,0.7110851855361962
f2_sig_str_landed_dec_avg,0.02038555892226701,0.09805398135152545,0.6969628517272346
f1_recent_avg_head_landed,0.019081485901891293,0.09649796624509162,0.6704623238840524
f1_body_landed_avg,0.01738398188695678,0.10148967049836106,0.6628864042780012
f1_sig_str_landed_avg,0.01178554062521453,0.11694796084115783,0.6340469216873112
f1_age_at_fight_valley,0.031758251167626206,0.033873139232735695,0.6297993567432855
f2_head_landed_avg,0.011265988687121364,0.1176031933924868,0.6283807704223388
f1_head_landed_peak,0.010335221011991358,0.1199203381458288,0.6226159926957063
f1_recent_avg_sig_str_per_min,0.024541040446651508,0.06160685892013584,0.6225658191479644
f1_age_at_fight_peak,0.018605818679754416,0.08372650633165993,0.6139787906411192
f2_sig_str_landed_peak,0.009156168266424958,0.12129030059691108,0.6093085909406251
f1_recent_avg_distance_landed,0.010294900668774032,0.11551577155418509,0.6050841233976125
f1_age_at_fight,0.018022486174569696,0.08372650633165993,0.6047948386957527
f1_sig_str_per_min_peak,0.02506864736824088,0.05367131064374582,0.6004295943266497
f2_body_landed_avg,0.011652090577236374,0.10399141401235609,0.5822411933263723
f2_recent_avg_head_landed,0.012881258393252715,0.09798457369216673,0.5785493287507356
f1_recent_avg_body_landed,0.01401925851859298,0.09319676217074017,0.578098638495675
ratio_HEIGHT,0.017059055421896785,0.07441413462978302,0.5539019518494281
f1_distance_att,0.015854977591471586,0.07910025004203905,0.5529221858370323
ratio_REACH,0.017720132769991848,0.07135915156974018,0.5525902007352959
f1_sig_str_landed_dec_avg,0.012231675558507016,0.09304944565914815,0.549389895048919
f1_head_landed_avg,0.007758783260684465,0.1101868904999128,0.5447126631517851
f1_recent_avg_age_at_fight_differential,0.013073915877598985,0.08801188524775655,0.5433246781638821
f1_age_at_fight_differential_vs_valley,0.012353670422737606,0.08872636521663188,0.5347261087915242
f1_head_landed_differential_vs_peak,0.013492734094008751,0.08344456821392972,0.5323971055690806
f1_total_str_per_min_peak,0.02437573486423461,0.038626078724243784,0.531802980918841
f1_ctrl_per_min_peak,0.02511639836715962,0.029345452638592333,0.5078610362174213
f2_recent_avg_leg_landed,0.017334290074899616,0.06074274974773893,0.5057882253489221
f1_body_landed_dec_avg,0.009541076818616157,0.09174400783064308,0.5020212694149291
ratio_head_landed_peak,0.021335110803069934,0.042783994148993594,0.4998824281379467
f1_sig_str_att,0.014855907802895807,0.06907406456157555,0.4987298239946838
f2_total_str_per_min_peak,0.023827710399184188,0.031219043572561535,0.49475959454621327
f1_distance_landed,0.010691059311253692,0.0847589888108928,0.49333016679927133
f2_sig_str_per_min_peak,0.0175604901620654,0.05441432351590058,0.48507200947793827
f1_body_landed_peak,0.004258253710781812,0.10662010398930365,0.4759174110921498
f1_recent_avg_age_at_fight,0.009829248208005792,0.08243465925694975,0.4708451290716815
f2_age_at_fight,0.00463252312343676,0.10330690633017638,0.46909959439264914
f2_days_since_last_fight_peak,0.01889657556361879,0.044603698060182696,0.46847113534906704
f1_head_acc_peak,0.019091270772220614,0.04192467190325075,0.4612589607340134
f2_age_at_fight_differential_vs_valley,0.008818204773561655,0.08222173735989152,0.45411049790305597
f2_age_at_fight_dec_avg,0.007001644095699255,0.08610931790845691,0.44042445033490396
f1_body_landed_differential_vs_peak,0.008790883088625634,0.07867005308543923,0.4400551581035512
f2_age_at_fight_peak,0.00264237085369623,0.10330690633017638,0.43776675652263985
f2_ctrl_per_min_peak,0.02606369667133457,0.006832316886049299,0.4364089730584737
f1_change_avg_age_at_fight_differential,0.005865799520173187,0.0877909450040719,0.4289929424208665
f2_head_landed_peak,0.0,0.11134958970662892,0.42701926317706007
f2_sig_str_landed_differential_vs_peak,0.007445832971563648,0.07983353583246142,0.42334219360401765
f2_body_landed_dec_avg,0.004740470790293383,0.08988829887908432,0.41932183189291433
ratio_kd_per_min_peak,0.018742578989022318,0.032384193479853544,0.4191694103399515
f2_WEIGHT,0.018815030737607152,0.03191570002104693,0.41851282300840315
f2_change_avg_age_at_fight_differential,0.006869917327546604,0.07861448645613346,0.40959842036477023
f2_sig_str_per_min_avg,0.005993423787120422,0.08073895929876372,0.40394899156771147
f1_REACH,0.019577057686115618,0.024295828509657124,0.40127831156714083
f1_sig_str_landed_differential_vs_peak,0.005983446857256602,0.07885902386253305,0.396579991875231
f2_recent_avg_age_at_fight,0.0,0.10074426920308,0.3863344828536875
f2_distance_att,0.004654842889112443,0.08142908594758361,0.3855219603973003
f2_age_at_fight_avg,0.0028850358767329443,0.08837853518592821,0.38431812800608867
f1_head_landed_dec_avg,0.0029805622914145236,0.08769059550073639,0.3831829737729061
f2_head_landed_differential_vs_peak,0.00554543160450649,0.07559936666086137,0.37717900934680065
f1_distance_landed_differential_vs_peak,0.003341626318068558,0.08442581298025188,0.3763429853902461
f2_head_landed_dec_avg,0.002105362940576949,0.0890631979193853,0.37466954923007006
f2_recent_avg_body_landed,0.002325374239527944,0.08777412315497238,0.3731881663186819
ratio_head_landed_avg,0.014530094013144979,0.037561645828883536,0.3727103596800859
ratio_kd_per_min_avg,0.01477582437761038,0.034285675621577236,0.36401164615349674
diff_kd_per_min_peak,0.02264657841685591,0.0006696410689958334,0.3589684338146493
ratio_age_at_fight_dec_avg,0.003865028675640092,0.07669160229736136,0.3549129477779365
ratio_KD_peak,0.0024068150851566106,0.08110459528659612,0.34888431464052333
ratio_distance_landed_avg,0.015709505877136598,0.02244024996367193,0.33326932393498204
f1_kd_per_min_peak,0.016550349438775314,0.017479742356714203,0.32747771127398306
f2_leg_landed_peak,0.001161030678125119,0.080110031841208,0.32545535449017415
f2_recent_avg_head_acc,0.014419461969569225,0.02567239582608492,0.32535830608990923
f2_body_landed_differential_vs_peak,0.00110152122380347,0.07975571171143238,0.32315917662186855
f1_recent_avg_head_acc,0.015877418425322976,0.018459355720534913,0.3206411786018839
f2_distance_landed,0.0,0.08323210886870308,0.3191532603764052
ratio_body_landed_peak,0.01892422981091224,0.003724602638092359,0.31208363156220414
