feature,timing
date,precomp
fight_url,precomp
event_url,precomp
result,postcomp
title_fight,precomp
fighter,precomp
opponent,precomp
stance,precomp
dob,precomp
division,precomp
method,postcomp
round,postcomp
time,postcomp
fighter_url,precomp
opponent_url,precomp
referee,postcomp
time_format,precomp
reach,precomp
age,precomp
height,precomp
knockdowns,precomp
days_since_last_comp,precomp
sub_attempts,precomp
sub_landed,precomp
reversals,precomp
control,precomp
takedowns_landed,precomp
takedowns_attempts,precomp
sig_strikes_landed,precomp
sig_strikes_attempts,precomp
total_strikes_landed,precomp
total_strikes_attempts,precomp
head_strikes_landed,precomp
head_strikes_attempts,precomp
body_strikes_landed,precomp
body_strikes_attempts,precomp
leg_strikes_landed,precomp
leg_strikes_attempts,precomp
distance_strikes_landed,precomp
distance_strikes_attempts,precomp
clinch_strikes_landed,precomp
clinch_strikes_attempts,precomp
ground_strikes_landed,precomp
ground_strikes_attempts,precomp
comp_time,postcomp
title_fight_loss,postcomp
title_fight_losses,postcomp
num_fights,precomp
win_streak,postcomp
lose_streak,postcomp
win_loss_ratio,postcomp
KO_losses,postcomp
sub_absorbed,precomp
takedowns_absorbed,precomp
sig_strikes_absorbed,precomp
total_strikes_absorbed,precomp
head_strikes_absorbed,precomp
body_strikes_absorbed,precomp
leg_strikes_absorbed,precomp
distance_strikes_absorbed,precomp
clinch_strikes_absorbed,precomp
ground_strikes_absorbed,precomp
total_sub_absorbed,precomp
total_takedowns_absorbed,precomp
total_sig_strikes_absorbed,precomp
total_total_strikes_absorbed,precomp
total_head_strikes_absorbed,precomp
total_body_strikes_absorbed,precomp
total_leg_strikes_absorbed,precomp
total_distance_strikes_absorbed,precomp
total_clinch_strikes_absorbed,precomp
total_ground_strikes_absorbed,precomp
total_comp_time,postcomp
stamina,postcomp
odds,postcomp
sub_acc,precomp
takedowns_acc,precomp
sig_strikes_acc,precomp
total_strikes_acc,precomp
head_strikes_acc,precomp
body_strikes_acc,precomp
leg_strikes_acc,precomp
distance_strikes_acc,precomp
clinch_strikes_acc,precomp
ground_strikes_acc,precomp
sub_def,precomp
takedowns_def,precomp
sig_strikes_def,precomp
total_strikes_def,precomp
head_strikes_def,precomp
body_strikes_def,precomp
leg_strikes_def,precomp
distance_strikes_def,precomp
clinch_strikes_def,precomp
ground_strikes_def,precomp
sub_attempts_per_min,precomp
sub_landed_per_min,precomp
takedowns_landed_per_min,precomp
takedowns_attempts_per_min,precomp
sig_strikes_landed_per_min,precomp
sig_strikes_attempts_per_min,precomp
total_strikes_landed_per_min,precomp
total_strikes_attempts_per_min,precomp
head_strikes_landed_per_min,precomp
head_strikes_attempts_per_min,precomp
body_strikes_landed_per_min,precomp
body_strikes_attempts_per_min,precomp
leg_strikes_landed_per_min,precomp
leg_strikes_attempts_per_min,precomp
distance_strikes_landed_per_min,precomp
distance_strikes_attempts_per_min,precomp
clinch_strikes_landed_per_min,precomp
clinch_strikes_attempts_per_min,precomp
ground_strikes_landed_per_min,precomp
ground_strikes_attempts_per_min,precomp
reach_differential,precomp
age_differential,precomp
height_differential,precomp
knockdowns_differential,precomp
days_since_last_comp_differential,precomp
sub_attempts_differential,precomp
sub_landed_differential,precomp
reversals_differential,precomp
control_differential,precomp
takedowns_landed_differential,precomp
takedowns_attempts_differential,precomp
sig_strikes_landed_differential,precomp
sig_strikes_attempts_differential,precomp
total_strikes_landed_differential,precomp
total_strikes_attempts_differential,precomp
head_strikes_landed_differential,precomp
head_strikes_attempts_differential,precomp
body_strikes_landed_differential,precomp
body_strikes_attempts_differential,precomp
leg_strikes_landed_differential,precomp
leg_strikes_attempts_differential,precomp
distance_strikes_landed_differential,precomp
distance_strikes_attempts_differential,precomp
clinch_strikes_landed_differential,precomp
clinch_strikes_attempts_differential,precomp
ground_strikes_landed_differential,precomp
ground_strikes_attempts_differential,precomp
comp_time_differential,postcomp
title_fight_loss_differential,postcomp
title_fight_losses_differential,postcomp
num_fights_differential,precomp
win_streak_differential,postcomp
lose_streak_differential,postcomp
win_loss_ratio_differential,postcomp
KO_losses_differential,postcomp
sub_absorbed_differential,precomp
takedowns_absorbed_differential,precomp
sig_strikes_absorbed_differential,precomp
total_strikes_absorbed_differential,precomp
head_strikes_absorbed_differential,precomp
body_strikes_absorbed_differential,precomp
leg_strikes_absorbed_differential,precomp
distance_strikes_absorbed_differential,precomp
clinch_strikes_absorbed_differential,precomp
ground_strikes_absorbed_differential,precomp
total_sub_absorbed_differential,precomp
total_takedowns_absorbed_differential,precomp
total_sig_strikes_absorbed_differential,precomp
total_total_strikes_absorbed_differential,precomp
total_head_strikes_absorbed_differential,precomp
total_body_strikes_absorbed_differential,precomp
total_leg_strikes_absorbed_differential,precomp
total_distance_strikes_absorbed_differential,precomp
total_clinch_strikes_absorbed_differential,precomp
total_ground_strikes_absorbed_differential,precomp
total_comp_time_differential,postcomp
stamina_differential,postcomp
odds_differential,postcomp
sub_acc_differential,precomp
takedowns_acc_differential,precomp
sig_strikes_acc_differential,precomp
total_strikes_acc_differential,precomp
head_strikes_acc_differential,precomp
body_strikes_acc_differential,precomp
leg_strikes_acc_differential,precomp
distance_strikes_acc_differential,precomp
clinch_strikes_acc_differential,precomp
ground_strikes_acc_differential,precomp
sub_def_differential,precomp
takedowns_def_differential,precomp
sig_strikes_def_differential,precomp
total_strikes_def_differential,precomp
head_strikes_def_differential,precomp
body_strikes_def_differential,precomp
leg_strikes_def_differential,precomp
distance_strikes_def_differential,precomp
clinch_strikes_def_differential,precomp
ground_strikes_def_differential,precomp
sub_attempts_per_min_differential,precomp
sub_landed_per_min_differential,precomp
takedowns_landed_per_min_differential,precomp
takedowns_attempts_per_min_differential,precomp
sig_strikes_landed_per_min_differential,precomp
sig_strikes_attempts_per_min_differential,precomp
total_strikes_landed_per_min_differential,precomp
total_strikes_attempts_per_min_differential,precomp
head_strikes_landed_per_min_differential,precomp
head_strikes_attempts_per_min_differential,precomp
body_strikes_landed_per_min_differential,precomp
body_strikes_attempts_per_min_differential,precomp
leg_strikes_landed_per_min_differential,precomp
leg_strikes_attempts_per_min_differential,precomp
distance_strikes_landed_per_min_differential,precomp
distance_strikes_attempts_per_min_differential,precomp
clinch_strikes_landed_per_min_differential,precomp
clinch_strikes_attempts_per_min_differential,precomp
ground_strikes_landed_per_min_differential,precomp
ground_strikes_attempts_per_min_differential,precomp
elo,postcomp
trueskill,postcomp
avg_reach,precomp
recent_avg_reach,precomp
avg_age,precomp
recent_avg_age,precomp
avg_height,precomp
recent_avg_height,precomp
avg_knockdowns,precomp
recent_avg_knockdowns,precomp
avg_days_since_last_comp,precomp
recent_avg_days_since_last_comp,precomp
avg_sub_attempts,precomp
recent_avg_sub_attempts,precomp
avg_sub_landed,precomp
recent_avg_sub_landed,precomp
avg_reversals,precomp
recent_avg_reversals,precomp
avg_control,precomp
recent_avg_control,precomp
avg_takedowns_landed,precomp
recent_avg_takedowns_landed,precomp
avg_takedowns_attempts,precomp
recent_avg_takedowns_attempts,precomp
avg_sig_strikes_landed,precomp
recent_avg_sig_strikes_landed,precomp
avg_sig_strikes_attempts,precomp
recent_avg_sig_strikes_attempts,precomp
avg_total_strikes_landed,precomp
recent_avg_total_strikes_landed,precomp
avg_total_strikes_attempts,precomp
recent_avg_total_strikes_attempts,precomp
avg_head_strikes_landed,precomp
recent_avg_head_strikes_landed,precomp
avg_head_strikes_attempts,precomp
recent_avg_head_strikes_attempts,precomp
avg_body_strikes_landed,precomp
recent_avg_body_strikes_landed,precomp
avg_body_strikes_attempts,precomp
recent_avg_body_strikes_attempts,precomp
avg_leg_strikes_landed,precomp
recent_avg_leg_strikes_landed,precomp
avg_leg_strikes_attempts,precomp
recent_avg_leg_strikes_attempts,precomp
avg_distance_strikes_landed,precomp
recent_avg_distance_strikes_landed,precomp
avg_distance_strikes_attempts,precomp
recent_avg_distance_strikes_attempts,precomp
avg_clinch_strikes_landed,precomp
recent_avg_clinch_strikes_landed,precomp
avg_clinch_strikes_attempts,precomp
recent_avg_clinch_strikes_attempts,precomp
avg_ground_strikes_landed,precomp
recent_avg_ground_strikes_landed,precomp
avg_ground_strikes_attempts,precomp
recent_avg_ground_strikes_attempts,precomp
avg_comp_time,postcomp
recent_avg_comp_time,postcomp
avg_title_fight_loss,postcomp
recent_avg_title_fight_loss,postcomp
avg_title_fight_losses,postcomp
recent_avg_title_fight_losses,postcomp
avg_num_fights,precomp
recent_avg_num_fights,precomp
avg_win_streak,postcomp
recent_avg_win_streak,postcomp
avg_lose_streak,postcomp
recent_avg_lose_streak,postcomp
avg_win_loss_ratio,postcomp
recent_avg_win_loss_ratio,postcomp
avg_KO_losses,postcomp
recent_avg_KO_losses,postcomp
avg_sub_absorbed,precomp
recent_avg_sub_absorbed,precomp
avg_takedowns_absorbed,precomp
recent_avg_takedowns_absorbed,precomp
avg_sig_strikes_absorbed,precomp
recent_avg_sig_strikes_absorbed,precomp
avg_total_strikes_absorbed,precomp
recent_avg_total_strikes_absorbed,precomp
avg_head_strikes_absorbed,precomp
recent_avg_head_strikes_absorbed,precomp
avg_body_strikes_absorbed,precomp
recent_avg_body_strikes_absorbed,precomp
avg_leg_strikes_absorbed,precomp
recent_avg_leg_strikes_absorbed,precomp
avg_distance_strikes_absorbed,precomp
recent_avg_distance_strikes_absorbed,precomp
avg_clinch_strikes_absorbed,precomp
recent_avg_clinch_strikes_absorbed,precomp
avg_ground_strikes_absorbed,precomp
recent_avg_ground_strikes_absorbed,precomp
avg_total_sub_absorbed,precomp
recent_avg_total_sub_absorbed,precomp
avg_total_takedowns_absorbed,precomp
recent_avg_total_takedowns_absorbed,precomp
avg_total_sig_strikes_absorbed,precomp
recent_avg_total_sig_strikes_absorbed,precomp
avg_total_total_strikes_absorbed,precomp
recent_avg_total_total_strikes_absorbed,precomp
avg_total_head_strikes_absorbed,precomp
recent_avg_total_head_strikes_absorbed,precomp
avg_total_body_strikes_absorbed,precomp
recent_avg_total_body_strikes_absorbed,precomp
avg_total_leg_strikes_absorbed,precomp
recent_avg_total_leg_strikes_absorbed,precomp
avg_total_distance_strikes_absorbed,precomp
recent_avg_total_distance_strikes_absorbed,precomp
avg_total_clinch_strikes_absorbed,precomp
recent_avg_total_clinch_strikes_absorbed,precomp
avg_total_ground_strikes_absorbed,precomp
recent_avg_total_ground_strikes_absorbed,precomp
avg_total_comp_time,postcomp
recent_avg_total_comp_time,postcomp
avg_stamina,postcomp
recent_avg_stamina,postcomp
avg_odds,postcomp
recent_avg_odds,postcomp
avg_sub_acc,precomp
recent_avg_sub_acc,precomp
avg_takedowns_acc,precomp
recent_avg_takedowns_acc,precomp
avg_sig_strikes_acc,precomp
recent_avg_sig_strikes_acc,precomp
