EVENT,BOUT,DATE,OUTCOME,WEIGHTCLASS,METHOD,fighter1,fighter2,fighter1_win,f2_distance_landed_avg,f2_sig_str_landed_avg,f2_recent_avg_distance_landed,f1_sig_str_landed_peak,f1_recent_avg_sig_str_landed,f2_distance_landed_peak,f1_distance_landed_peak,f2_age_at_fight_valley,f2_recent_avg_sig_str_landed,f2_body_landed_peak,f1_distance_landed_avg,f2_sig_str_landed_dec_avg,f1_recent_avg_head_landed,f1_body_landed_avg,f1_sig_str_landed_avg,f1_age_at_fight_valley,f2_head_landed_avg,f1_head_landed_peak,f1_recent_avg_sig_str_per_min,f1_age_at_fight_peak,f2_sig_str_landed_peak,f1_recent_avg_distance_landed,f1_age_at_fight,f1_sig_str_per_min_peak,f2_body_landed_avg,f2_recent_avg_head_landed,f1_recent_avg_body_landed,ratio_HEIGHT,f1_distance_att,ratio_REACH
UFC 2: No Way Out,Frank Hamaker vs. Thaddeus Luster,1994-03-11,W/L,Open Weight Bout,Submission ,Frank Hamaker,Thaddeus Luster,1.0,0.0,0.0,0.0,2.0,2.0,0.0,1.0,,0.0,0.0,1.0,,2.0,0.0,2.0,,0.0,2.0,0.410958904109589,,0.0,1.0,,0.410958904109589,0.0,0.0,0.0,,1,
UFC 2: No Way Out,Jason DeLucia vs. Scott Baker,1994-03-11,W/L,Open Weight Bout,Submission ,Jason DeLucia,Scott Baker,1.0,0.0,0.0,0.0,3.0,3.0,0.0,2.0,,0.0,0.0,2.0,,1.0,1.0,3.0,24.629705681040384,0.0,1.0,0.44887780548628425,24.629705681040384,0.0,2.0,24.629705681040384,0.44887780548628425,0.0,0.0,1.0,,4,
UFC 2: No Way Out,Johnny Rhodes vs. David Levicki,1994-03-11,W/L,Open Weight Bout,KO/TKO ,David Levicki,Johnny Rhodes,1.0,1.0,11.0,1.0,4.0,4.0,1.0,1.0,,11.0,1.0,1.0,,4.0,0.0,4.0,,9.0,4.0,0.3274215552523874,,11.0,1.0,,0.3274215552523874,1.0,9.0,0.0,,2,
UFC 2: No Way Out,Johnny Rhodes vs. Fred Ettish,1994-03-11,W/L,Open Weight Bout,Submission ,Fred Ettish,Johnny Rhodes,1.0,2.0,12.0,2.0,4.0,4.0,3.0,4.0,,12.0,1.0,4.0,11.0,0.0,2.0,4.0,,10.5,0.0,1.2834224598930482,,13.0,4.0,,1.2834224598930482,0.5,10.5,2.0,,7,
UFC 2: No Way Out,Orlando Wiet vs. Robert Lucarelli,1994-03-11,W/L,Open Weight Bout,KO/TKO ,Orlando Wiet,Robert Lucarelli,1.0,2.0,2.0,2.0,8.0,8.0,2.0,1.0,,2.0,0.0,1.0,,7.0,1.0,8.0,,1.0,7.0,2.8235294117647056,,2.0,1.0,,2.8235294117647056,0.0,1.0,1.0,,3,
UFC 2: No Way Out,Patrick Smith vs. Johnny Rhodes,1994-03-11,W/L,Open Weight Bout,Submission ,Johnny Rhodes,Patrick Smith,1.0,3.0,5.0,3.0,13.0,9.333333333333334,3.0,4.0,,5.0,2.0,2.6666666666666665,,7.666666666666667,0.3333333333333333,9.333333333333334,,1.0,12.0,2.884540607945093,,5.0,2.6666666666666665,,4.171122994652406,2.0,1.0,0.3333333333333333,,9,
UFC 2: No Way Out,Patrick Smith vs. Ray Wizard,1994-03-11,W/L,Open Weight Bout,Submission ,Patrick Smith,Ray Wizard,1.0,1.0,1.0,1.0,5.0,3.0,1.0,3.0,,1.0,0.0,1.5,,0.5,1.5,3.0,,0.0,1.0,2.7560473494595983,,1.0,1.5,,4.477611940298507,0.0,0.0,1.5,,0,
UFC 2: No Way Out,Patrick Smith vs. Scott Morris,1994-03-11,W/L,Open Weight Bout,KO/TKO ,Patrick Smith,Scott Morris,1.0,0.0,0.0,0.0,13.0,6.333333333333333,0.0,3.0,,0.0,0.0,1.0,,4.333333333333333,1.3333333333333333,6.333333333333333,,0.0,12.0,10.504031566306399,,0.0,1.0,,26.0,0.0,0.0,1.3333333333333333,,0,
UFC 2: No Way Out,Remco Pardoel vs. Alberta Cerra Leon,1994-03-11,W/L,Open Weight Bout,Submission ,Alberta Cerra Leon,Remco Pardoel,1.0,0.0,4.0,0.0,1.0,1.0,0.0,1.0,,4.0,0.0,1.0,,1.0,0.0,1.0,,4.0,1.0,0.10152284263959391,,4.0,1.0,,0.10152284263959391,0.0,4.0,0.0,,1,
UFC 2: No Way Out,Remco Pardoel vs. Orlando Wiet,1994-03-11,W/L,Open Weight Bout,KO/TKO ,Orlando Wiet,Remco Pardoel,1.0,0.0,5.5,0.0,8.0,4.5,0.0,1.0,,5.5,0.0,1.0,4.0,3.5,0.5,4.5,,5.5,7.0,1.748843357567746,,7.0,1.0,,2.8235294117647056,0.0,5.5,0.5,,2,
